Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-03:00,1.2154022455215452,1.2154022455215452,1.2154022455215452,1.2154022455215454,18000,0.0,0.0
2000-01-04 00:00:00-03:00,1.1667859554290771,1.1829906043639726,1.1667859554290771,1.1667859554290771,6300,0.0,0.0
2000-01-05 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,4500,0.0,0.0
2000-01-06 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-07 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-10 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-11 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-12 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-13 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-14 00:00:00-03:00,1.1343746185302732,1.1343746185302732,1.1343746185302732,1.1343746185302734,8100,0.0,0.0
2000-01-17 00:00:00-03:00,1.1343746185302732,1.1343746185302732,1.1343746185302732,1.1343746185302734,3000,0.0,0.0
2000-01-18 00:00:00-03:00,1.1343746185302732,1.1343746185302732,1.1343746185302732,1.1343746185302734,4692,0.0,0.0
2000-01-19 00:00:00-03:00,1.2154022455215452,1.2154022455215452,1.2154022455215452,1.2154022455215454,1122,0.0,0.0
2000-01-20 00:00:00-03:00,1.1667859554290771,1.2072986209542105,1.1667859554290771,1.1667859554290771,9810,0.0,0.0
2000-01-21 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-24 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-25 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-26 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-27 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-28 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-01-31 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-02-01 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-02-02 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-02-03 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-02-04 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,6300,0.0,0.0
2000-02-07 00:00:00-03:00,1.1505802869796753,1.1505802869796753,1.1505802869796753,1.1505802869796753,1422,0.0,0.0
2000-02-08 00:00:00-03:00,1.1505802869796753,1.1505802869796753,1.1343745945234502,1.1505802869796753,10854,0.0,0.0
2000-02-09 00:00:00-03:00,1.1505802869796753,1.1505802869796753,1.1505802869796753,1.1505802869796753,1524,0.0,0.0
2000-02-10 00:00:00-03:00,1.1505802869796753,1.1505802869796753,1.1505802869796753,1.1505802869796753,16980,0.0,0.0
2000-02-11 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,1422,0.0,0.0
2000-02-14 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-02-15 00:00:00-03:00,1.1667859554290771,1.1667859554290771,1.1667859554290771,1.1667859554290771,0,0.0,0.0
2000-02-16 00:00:00-03:00,1.1343746185302732,1.1343746185302732,1.1343746185302732,1.1343746185302734,21120,0.0,0.0
