Date,ypf,ypfdba,ggal,ggalba,bma,bmaba,pam,pampba,bbar,bbarba,ccl
2009-10-09,30.566452026367188,117.64944458007812,4.361065864562988,1.5760103464126587,17.5355167388916,3.8100051879882812,12.508185386657715,1.886235237121582,4.604373931884766,4.804572582244873,3.307194062033072
2009-10-13,30.80554962158203,120.48926544189453,4.451578617095947,1.5998893976211548,18.173171997070312,3.897900104522705,12.400272369384766,1.856608510017395,4.772416114807129,4.8876142501831055,3.293125324529496
2009-10-14,30.89811134338379,121.70632934570312,4.56677770614624,1.647647500038147,18.565067291259766,3.9743287563323975,12.341409683227539,1.8664841651916504,4.705199718475342,4.8698201179504395,3.3147023075837994
2009-10-15,31.23748016357422,123.32907104492188,4.443350791931152,1.6237685680389404,18.565067291259766,3.993436336517334,12.262927055358887,1.8664841651916504,4.664869785308838,4.857956886291504,3.3365700725808054
2009-10-16,31.144926071166992,123.32907104492188,4.3692946434021,1.5680508613586426,17.98719024658203,3.936115026473999,12.311978340148926,1.856608510017395,4.510271072387695,4.757120609283447,3.334208744675511
2009-10-19,32.3867073059082,126.5745849609375,4.426893711090088,1.5680508613586426,19.627822875976562,3.936115026473999,12.292357444763184,1.856608510017395,4.584208965301514,4.757120609283447,3.268960234971696
2009-10-20,31.638553619384766,124.9518051147461,4.509177207946777,1.5680508613586426,19.3355655670166,3.936115026473999,12.164823532104492,1.8467329740524292,4.651426315307617,4.757120609283447,3.26518109040679
2009-10-21,30.543312072753906,124.9518051147461,4.484492778778076,1.6237685680389404,19.308996200561523,4.18450927734375,11.968615531921387,1.8467329740524292,4.584208965301514,4.7452569007873535,3.3683589452832003
2009-10-22,29.579191207885742,119.27220916748047,4.9041428565979,1.798880696296692,20.13263511657715,4.356475830078125,11.998046875,1.8171062469482422,4.725365161895752,5.178262233734131,3.387611663064079
2009-10-23,29.41722297668457,119.27220916748047,4.756031036376953,1.7670420408248901,20.39168357849121,4.471120357513428,12.02747917175293,1.8171062469482422,4.61781644821167,5.095219612121582,3.4099261877747638
2009-10-26,29.24753761291504,117.64944458007812,4.928826808929443,1.830718755722046,20.11935043334961,4.375583648681641,11.772409439086914,1.7776038646697998,4.597652912139893,5.089288234710693,3.401479319088356
2009-10-27,29.270675659179688,116.83805847167969,4.953512668609619,1.8147995471954346,20.0927791595459,4.413799285888672,11.586012840270996,1.7776038646697998,4.510271072387695,4.952861785888672,3.396413887777919
2009-10-28,29.27838706970215,116.02667999267578,4.607918739318848,1.6715260744094849,19.308996200561523,4.165402412414551,11.085685729980469,1.6887238025665283,4.0935235023498535,4.567309379577637,3.3806368199411567
2009-10-29,29.35552215576172,116.02667999267578,4.764259338378906,1.6715260744094849,19.76066780090332,4.165402412414551,11.262271881103516,1.7282260656356812,4.530435562133789,4.567309379577637,3.285919215656463
2009-10-30,29.201255798339844,116.02667999267578,4.772487163543701,1.7431631088256836,19.41526985168457,4.241831302642822,10.74232292175293,1.649221420288086,4.275010108947754,4.5969672203063965,3.374947261834887
2009-11-02,29.4635009765625,116.83805847167969,4.84654426574707,1.759082317352295,20.677295684814453,4.471120357513428,10.74232292175293,1.6590969562530518,4.61781644821167,4.685941219329834,3.332558387595288
2009-11-03,29.301525115966797,116.83805847167969,4.830085754394531,1.759082317352295,20.856639862060547,4.471120357513428,11.017012596130371,1.70847487449646,4.705199718475342,4.685941219329834,3.3275458206292106
2009-11-04,29.286100387573242,116.83805847167969,4.747801780700684,1.7511227130889893,21.26845359802246,4.60487174987793,11.144547462463379,1.70847487449646,4.476661682128906,4.905409812927246,3.3925592946399967
2009-11-05,29.617765426635742,117.64944458007812,4.84654426574707,1.735203504562378,21.009408950805664,4.509334564208984,10.938529968261719,1.6590969562530518,4.557321548461914,4.923203945159912,3.3463216335076638
2009-11-09,29.772193908691406,122.86044311523438,5.019340515136719,1.7909207344055176,21.87954330444336,4.681300640106201,10.92872142791748,1.649221420288086,4.725365161895752,5.160466194152832,3.376642631770916
2009-11-10,29.908987045288086,121.16577911376953,4.969969749450684,1.798880696296692,21.560714721679688,4.6239776611328125,10.869857788085938,1.6393457651138306,4.738808631896973,5.130809783935547,3.366767790025702
2009-11-11,30.05381965637207,121.16577911376953,4.887685775756836,1.798880696296692,21.16218376159668,4.6239776611328125,10.801185607910156,1.6393457651138306,4.698477745056152,5.130809783935547,3.393498305084538
2009-11-12,30.094058990478516,119.47118377685547,4.739573955535889,1.719284176826477,20.923059463500977,4.5284423828125,10.74232292175293,1.6294702291488647,4.496827602386475,4.935066223144531,3.3692607277653694
2009-11-13,29.86875343322754,119.47118377685547,4.85477352142334,1.719284176826477,21.062549591064453,4.585763931274414,10.7521333694458,1.6393457651138306,4.590931415557861,5.101151943206787,3.3727199145670377
2009-11-16,29.86875343322754,119.47118377685547,4.85477352142334,1.7511227130889893,20.697223663330078,4.585763931274414,10.820806503295898,1.6590969562530518,4.68503475189209,5.130809783935547,3.388217948763895
2009-11-17,29.772193908691406,118.62383270263672,4.84654426574707,1.759082317352295,20.172487258911133,4.4329047203063965,10.644220352172852,1.6393457651138306,4.436331272125244,4.976588249206543,3.405420605961293
2009-11-18,30.013586044311523,117.77654266357422,4.599690914154053,1.759082317352295,19.189434051513672,4.4329047203063965,10.791376113891602,1.649221420288086,4.37583589553833,4.976588249206543,3.4582182446228975
2009-11-19,30.367645263671875,118.62383270263672,4.616147518157959,1.679485559463501,18.970239639282227,4.088973522186279,10.88947868347168,1.6887238025665283,4.328784465789795,4.816435813903809,3.3829860477438247
